epoch,train_loss,val_loss
1,0.007292,0.007320
2,0.006996,0.007307
3,0.006979,0.007275
4,0.006964,0.007268
5,0.006956,0.007251
6,0.006957,0.007324
7,0.006946,0.007277
8,0.006942,0.007298
9,0.006936,0.007284
10,0.006935,0.007279
11,0.006935,0.007263
12,0.006925,0.007297
13,0.006914,0.007266
14,0.006912,0.007276
15,0.006924,0.007338
16,0.006911,0.007338
17,0.006907,0.007317
18,0.006902,0.007316
19,0.006908,0.007330
20,0.006895,0.007309
21,0.006891,0.007333
22,0.006880,0.007310
23,0.006885,0.007342
24,0.006877,0.007352
25,0.006873,0.007362
26,0.006871,0.007386
27,0.006879,0.007343
28,0.006868,0.007324
29,0.006945,0.007364
30,0.006865,0.007341
31,0.006857,0.007381
32,0.006849,0.007342
33,0.006853,0.007371
34,0.006852,0.007399
35,0.006843,0.007366
36,0.006837,0.007393
37,0.006834,0.007389
38,0.006840,0.007372
39,0.006827,0.007400
40,0.006835,0.007394
41,0.006829,0.007372
42,0.006816,0.007398
43,0.006833,0.007406
44,0.006820,0.007450
45,0.006815,0.007377
46,0.006820,0.007434
47,0.006812,0.007458
48,0.006805,0.007449
49,0.006816,0.007403
50,0.006813,0.007408
51,0.006803,0.007448
52,0.006800,0.007435
53,0.006801,0.007447
54,0.006796,0.007427
55,0.006799,0.007403
56,0.006789,0.007502
57,0.006784,0.007447
58,0.006795,0.007442
59,0.006795,0.007415
60,0.006830,0.007487
61,0.006811,0.007494
62,0.006781,0.007428
63,0.006783,0.007435
64,0.006775,0.007513
65,0.006772,0.007515
66,0.006777,0.007628
67,0.006772,0.007584
68,0.006762,0.007598
69,0.006767,0.007517
70,0.006767,0.007617
71,0.006763,0.007715
72,0.006762,0.007445
73,0.006757,0.007492
74,0.006758,0.007498
75,0.006756,0.007573
76,0.006757,0.007650
77,0.006748,0.007499
78,0.006761,0.007580
79,0.006752,0.007647
80,0.006752,0.007594
81,0.006757,0.007563
82,0.006754,0.007507
83,0.006754,0.007634
84,0.006745,0.007591
85,0.006729,0.007645
86,0.006746,0.007533
87,0.006743,0.007505
88,0.006744,0.007737
89,0.006756,0.007556
90,0.006756,0.007609
91,0.006732,0.007610
92,0.006731,0.007580
93,0.006742,0.007684
94,0.006729,0.007731
95,0.006730,0.007614
96,0.006736,0.007685
97,0.006733,0.007607
98,0.006736,0.007532
99,0.006723,0.007736
100,0.006721,0.007692
